,Datetime,Day of the Year,Description,District,Neighborhood
1261,2016-12-22 12:00:00,357,larceny,eastern,barclay
1262,2016-12-22 11:50:00,357,assault by threat,northern,woodberry
1263,2016-12-22 11:15:00,357,larceny,northeastern,belair-edison
1264,2016-12-22 11:12:00,357,larceny,southeastern,fells point
1267,2016-12-22 10:30:00,357,burglary,northeastern,belair-edison
1269,2016-12-22 10:30:00,357,larceny,eastern,oldtown
1271,2016-12-22 10:00:00,357,larceny from auto,northern,mount washington
1276,2016-12-22 08:42:00,357,burglary,central,federal hill
1278,2016-12-22 08:30:00,357,robbery - street,central,seton hill
1280,2016-12-22 08:30:00,357,auto theft,southern,lakeland
1281,2016-12-22 08:28:00,357,larceny,northeastern,frankford
1282,2016-12-22 08:00:00,357,burglary,southwestern,morrell park
1285,2016-12-22 07:00:00,357,larceny,southern,hollins market
1288,2016-12-22 05:35:00,357,robbery - commercial,northern,coldspring
1289,2016-12-22 04:00:00,357,robbery - street,southern,hollins market
1293,2016-12-22 03:30:00,357,auto theft,western,sandtown-winchester
1294,2016-12-22 02:45:00,357,auto theft,southeastern,fells point
1297,2016-12-22 01:14:00,357,burglary,southern,hollins market
1299,2016-12-22 01:00:00,357,common assault,northeastern,belair-edison
1310,2016-12-21 22:10:00,356,common assault,western,penn north
1311,2016-12-21 22:00:00,356,larceny from auto,southwestern,walbrook
1319,2016-12-21 21:15:00,356,larceny from auto,northwestern,cheswolde
1320,2016-12-21 21:00:00,356,larceny from auto,central,seton hill
1334,2016-12-21 18:00:00,356,larceny from auto,central,downtown
1342,2016-12-21 17:00:00,356,burglary,northwestern,arlington
1344,2016-12-21 17:00:00,356,larceny from auto,northwestern,cheswolde
1349,2016-12-21 15:40:00,356,robbery - residence,northern,hampden
1350,2016-12-21 15:40:00,356,common assault,eastern,orangeville
1355,2016-12-21 15:15:00,356,agg. assault,northeastern,frankford
1359,2016-12-21 15:00:00,356,burglary,southern,brooklyn
1360,2016-12-21 15:00:00,356,burglary,northeastern,frankford
1363,2016-12-21 14:30:00,356,robbery - street,western,penn north
1365,2016-12-21 14:00:00,356,common assault,northeastern,belair-edison
1368,2016-12-21 14:00:00,356,larceny,northern,medfield
1370,2016-12-21 14:00:00,356,larceny,southern,brooklyn
1374,2016-12-21 13:25:00,356,burglary,northern,medfield
1380,2016-12-21 12:16:00,356,common assault,northwestern,arlington
1381,2016-12-21 12:16:00,356,common assault,northwestern,arlington
1383,2016-12-21 12:00:00,356,larceny from auto,northwestern,cheswolde
1391,2016-12-21 10:30:00,356,larceny from auto,northern,mount washington
1392,2016-12-21 10:30:00,356,larceny from auto,northern,mount washington
1393,2016-12-21 10:22:00,356,larceny,southeastern,highlandtown
1395,2016-12-21 10:20:00,356,larceny,central,downtown
1396,2016-12-21 10:15:00,356,robbery - street,central,downtown
1397,2016-12-21 10:00:00,356,larceny,southern,hollins market
1399,2016-12-21 09:50:00,356,agg. assault,central,downtown
1401,2016-12-21 09:25:00,356,auto theft,central,druid heights
1403,2016-12-21 09:00:00,356,larceny from auto,southwestern,irvington
1404,2016-12-21 09:00:00,356,auto theft,northwestern,dorchester
1408,2016-12-21 08:30:00,356,auto theft,northeastern,frankford
1409,2016-12-21 08:00:00,356,common assault,central,downtown
1410,2016-12-21 08:00:00,356,burglary,northwestern,howard park
1411,2016-12-21 08:00:00,356,larceny from auto,central,downtown
1416,2016-12-21 07:00:00,356,auto theft,southern,hollins market
1418,2016-12-21 06:00:00,356,larceny,central,seton hill
1419,2016-12-21 06:00:00,356,auto theft,northeastern,frankford
1420,2016-12-21 05:53:00,356,larceny,southwestern,morrell park
1421,2016-12-21 05:30:00,356,auto theft,northeastern,cedonia
1422,2016-12-21 05:02:00,356,larceny,southern,hollins market
1432,2016-12-21 00:25:00,356,larceny,southeastern,inner harbor
1433,2016-12-21 00:10:00,356,robbery - street,northern,hampden
1436,2016-12-21 00:00:00,356,robbery - street,northeastern,belair-edison
1439,2016-12-20 23:45:00,355,auto theft,western,sandtown-winchester
1442,2016-12-20 23:05:00,355,burglary,northern,medfield
1447,2016-12-20 22:30:00,355,larceny from auto,southeastern,canton
1448,2016-12-20 22:30:00,355,auto theft,northwestern,howard park
1454,2016-12-20 21:40:00,355,larceny,southeastern,fells point
1455,2016-12-20 21:20:00,355,larceny from auto,northern,remington
1459,2016-12-20 21:00:00,355,auto theft,northeastern,frankford
1461,2016-12-20 20:30:00,355,homicide,northwestern,arlington
1462,2016-12-20 20:30:00,355,shooting,northwestern,arlington
1463,2016-12-20 20:50:00,355,larceny from auto,central,reservoir hill
1468,2016-12-20 20:30:00,355,larceny from auto,southern,hollins market
1472,2016-12-20 20:09:00,355,agg. assault,northwestern,arlington
1473,2016-12-20 20:09:00,355,agg. assault,northwestern,arlington
1475,2016-12-20 20:00:00,355,larceny,southeastern,inner harbor
1476,2016-12-20 20:00:00,355,larceny,southeastern,highlandtown
1477,2016-12-20 20:00:00,355,auto theft,southern,hollins market
1478,2016-12-20 20:00:00,355,auto theft,southwestern,ten hills
1479,2016-12-20 20:00:00,355,auto theft,southern,lakeland
1487,2016-12-20 19:16:00,355,common assault,southeastern,fells point
1488,2016-12-20 19:10:00,355,common assault,central,downtown
1490,2016-12-20 19:00:00,355,larceny,northwestern,howard park
1493,2016-12-20 18:06:00,355,shooting,northeastern,frankford
1494,2016-12-20 18:06:00,355,shooting,northeastern,frankford
1495,2016-12-20 18:48:00,355,robbery - street,central,downtown
1501,2016-12-20 18:10:00,355,auto theft,western,harlem park
1504,2016-12-20 18:00:00,355,auto theft,northwestern,howard park
1505,2016-12-20 17:55:00,355,robbery - street,southern,cherry hill
1506,2016-12-20 17:55:00,355,robbery - street,southern,cherry hill
1507,2016-12-20 17:45:00,355,burglary,northeastern,belair-edison
1510,2016-12-20 17:30:00,355,larceny from auto,central,seton hill
1514,2016-12-20 17:11:00,355,agg. assault,northwestern,arlington
1516,2016-12-20 17:00:00,355,auto theft,southern,brooklyn
1519,2016-12-20 16:03:00,355,agg. assault,northeastern,frankford
1527,2016-12-20 15:40:00,355,common assault,northeastern,belair-edison
1528,2016-12-20 15:35:00,355,agg. assault,southern,cherry hill
1530,2016-12-20 15:30:00,355,common assault,southern,cherry hill
1532,2016-12-20 15:30:00,355,auto theft,northern,hampden
1533,2016-12-20 15:17:00,355,larceny,southeastern,highlandtown
1534,2016-12-20 15:15:00,355,burglary,southern,curtis bay
1536,2016-12-20 15:00:00,355,auto theft,southern,cherry hill
1537,2016-12-20 14:45:00,355,larceny,eastern,barclay
1546,2016-12-20 14:09:00,355,larceny,southwestern,morrell park
1547,2016-12-20 14:00:00,355,robbery - street,central,downtown
1549,2016-12-20 13:50:00,355,common assault,northern,guilford
1551,2016-12-20 13:25:00,355,arson,northeastern,frankford
1553,2016-12-20 12:53:00,355,agg. assault,central,reservoir hill
1554,2016-12-20 12:49:00,355,larceny,central,upton
1557,2016-12-20 12:22:00,355,larceny,southeastern,canton
1562,2016-12-20 11:40:00,355,larceny,central,inner harbor
1565,2016-12-20 11:00:00,355,burglary,northern,medfield
1570,2016-12-20 10:30:00,355,common assault,southeastern,fells point
1571,2016-12-20 10:30:00,355,burglary,northeastern,frankford
1574,2016-12-20 09:30:00,355,larceny from auto,southwestern,morrell park
1576,2016-12-20 09:13:00,355,agg. assault,central,downtown
1577,2016-12-20 09:13:00,355,agg. assault,central,downtown
1580,2016-12-20 08:25:00,355,larceny,central,downtown
1582,2016-12-20 08:00:00,355,burglary,western,penn north
1585,2016-12-20 08:00:00,355,burglary,southeastern,fells point
1587,2016-12-20 08:00:00,355,larceny,southern,brooklyn
1591,2016-12-20 07:30:00,355,auto theft,eastern,barclay
1596,2016-12-20 06:30:00,355,burglary,central,downtown
1597,2016-12-20 06:28:00,355,robbery - carjacking,southwestern,ten hills
1598,2016-12-20 05:20:00,355,agg. assault,southwestern,beechfield
1599,2016-12-20 04:17:00,355,shooting,northwestern,howard park
1600,2016-12-20 04:17:00,355,shooting,northwestern,howard park
1601,2016-12-20 04:17:00,355,agg. assault,northwestern,howard park
1602,2016-12-20 04:17:00,355,agg. assault,northwestern,howard park
1603,2016-12-20 03:54:00,355,burglary,southwestern,ten hills
1605,2016-12-20 03:25:00,355,robbery - commercial,western,poppleton
1606,2016-12-20 03:05:00,355,robbery - street,southeastern,inner harbor
1608,2016-12-20 01:30:00,355,common assault,central,upton
1610,2016-12-20 01:00:00,355,auto theft,northeastern,belair-edison
1611,2016-12-20 00:45:00,355,auto theft,northern,medfield
1612,2016-12-20 00:30:00,355,auto theft,central,downtown
1614,2016-12-19 23:30:00,354,larceny from auto,northeastern,belair-edison
1617,2016-12-19 22:50:00,354,burglary,western,poppleton
1619,2016-12-19 22:30:00,354,auto theft,southern,brooklyn
1624,2016-12-19 21:55:00,354,robbery - street,northeastern,loch raven
1625,2016-12-19 21:45:00,354,agg. assault,central,poppleton
1626,2016-12-19 21:30:00,354,robbery - street,northeastern,loch raven
1627,2016-12-19 21:30:00,354,robbery - street,northeastern,loch raven
1628,2016-12-19 21:20:00,354,auto theft,western,sandtown-winchester
1631,2016-12-19 20:54:00,354,agg. assault,southwestern,allendale
1633,2016-12-19 20:30:00,354,agg. assault,southwestern,west hills
1634,2016-12-19 20:10:00,354,robbery - commercial,northern,hampden
1635,2016-12-19 20:10:00,354,robbery - commercial,northern,hampden
1640,2016-12-19 19:30:00,354,larceny from auto,northeastern,belair-edison
1641,2016-12-19 19:21:00,354,robbery - commercial,southeastern,highlandtown
1642,2016-12-19 19:20:00,354,agg. assault,northern,hampden
1643,2016-12-19 19:20:00,354,larceny,central,inner harbor
1648,2016-12-19 18:30:00,354,agg. assault,northeastern,frankford
1650,2016-12-19 18:22:00,354,common assault,northeastern,belair-edison
1651,2016-12-19 18:04:00,354,robbery - commercial,northeastern,belair-edison
1652,2016-12-19 18:04:00,354,larceny,central,downtown
1655,2016-12-19 17:21:00,354,robbery - street,southern,brooklyn
1656,2016-12-19 16:30:00,354,common assault,northeastern,cedonia
1665,2016-12-19 15:50:00,354,common assault,central,upton
1673,2016-12-19 15:00:00,354,larceny,northern,coldspring
1674,2016-12-19 14:41:00,354,burglary,northern,hampden
1676,2016-12-19 14:30:00,354,burglary,central,upton
1677,2016-12-19 14:06:00,354,common assault,western,poppleton
1681,2016-12-19 13:11:00,354,shooting,southern,brooklyn
1683,2016-12-19 13:11:00,354,agg. assault,southern,cherry hill
1685,2016-12-19 12:50:00,354,larceny,central,upton
1688,2016-12-19 12:10:00,354,burglary,northeastern,frankford
1690,2016-12-19 12:00:00,354,burglary,western,sandtown-winchester
1696,2016-12-19 11:30:00,354,burglary,northeastern,frankford
1698,2016-12-19 11:20:00,354,agg. assault,southwestern,violetville
1699,2016-12-19 11:20:00,354,agg. assault,southwestern,violetville
1700,2016-12-19 10:47:00,354,common assault,northeastern,frankford
1701,2016-12-19 10:45:00,354,burglary,central,seton hill
1702,2016-12-19 10:40:00,354,agg. assault,eastern,oldtown
1703,2016-12-19 10:30:00,354,larceny from auto,southern,brooklyn
1710,2016-12-19 09:32:00,354,agg. assault,southern,cherry hill
1712,2016-12-19 09:24:00,354,assault by threat,western,sandtown-winchester
1713,2016-12-19 08:52:00,354,larceny,northeastern,frankford
1717,2016-12-19 08:24:00,354,robbery - carjacking,eastern,oldtown
1720,2016-12-19 08:00:00,354,robbery - residence,northeastern,belair-edison
1723,2016-12-19 08:00:00,354,larceny,western,harlem park
1727,2016-12-19 07:30:00,354,auto theft,northeastern,belair-edison
1731,2016-12-19 04:50:00,354,common assault,western,sandtown-winchester
1732,2016-12-19 04:49:00,354,robbery - commercial,central,downtown
1733,2016-12-19 04:39:00,354,agg. assault,southern,curtis bay
1734,2016-12-19 04:39:00,354,agg. assault,southern,curtis bay
1736,2016-12-19 03:32:00,354,burglary,southwestern,ten hills
1737,2016-12-19 03:31:00,354,burglary,northern,hampden
1738,2016-12-19 03:31:00,354,burglary,northern,hampden
1742,2016-12-19 02:30:00,354,homicide,western,harlem park
1743,2016-12-19 02:30:00,354,homicide,western,harlem park
1745,2016-12-19 01:30:00,354,burglary,northern,coldspring
1749,2016-12-19 00:39:00,354,larceny,southwestern,morrell park
1751,2016-12-19 00:00:00,354,larceny,northwestern,forest park
1752,2016-12-19 00:00:00,354,larceny,southeastern,canton
1756,2016-12-18 23:19:00,353,agg. assault,southern,federal hill
1764,2016-12-18 21:48:00,353,robbery - street,central,inner harbor
1765,2016-12-18 21:48:00,353,auto theft,central,inner harbor
1766,2016-12-18 21:48:00,353,auto theft,central,downtown
1767,2016-12-18 21:30:00,353,burglary,southeastern,highlandtown
1774,2016-12-18 20:39:00,353,common assault,southwestern,irvington
1775,2016-12-18 20:30:00,353,auto theft,southern,curtis bay
1776,2016-12-18 20:00:00,353,common assault,northeastern,loch raven
1778,2016-12-18 19:43:00,353,shooting,northeastern,belair-edison
1780,2016-12-18 19:43:00,353,agg. assault,northeastern,belair-edison
1781,2016-12-18 19:30:00,353,larceny from auto,central,poppleton
1785,2016-12-18 19:13:00,353,agg. assault,southern,curtis bay
1786,2016-12-18 19:13:00,353,agg. assault,southern,curtis bay
1787,2016-12-18 19:13:00,353,agg. assault,southern,curtis bay
1788,2016-12-18 19:13:00,353,agg. assault,southern,curtis bay
1789,2016-12-18 19:00:00,353,common assault,central,druid heights
1790,2016-12-18 18:52:00,353,auto theft,northwestern,ashburton
1797,2016-12-18 18:00:00,353,auto theft,southern,brooklyn
1800,2016-12-18 17:30:00,353,larceny,northern,hampden
1807,2016-12-18 16:50:00,353,robbery - street,southern,hollins market
1808,2016-12-18 16:37:00,353,larceny,central,inner harbor
1809,2016-12-18 16:35:00,353,agg. assault,central,reservoir hill
1811,2016-12-18 16:00:00,353,larceny,southwestern,irvington
1813,2016-12-18 16:00:00,353,larceny from auto,central,downtown
1819,2016-12-18 14:35:00,353,larceny,southwestern,morrell park
1825,2016-12-18 13:50:00,353,auto theft,northeastern,belair-edison
1835,2016-12-18 12:00:00,353,burglary,northwestern,ashburton
1837,2016-12-18 11:56:00,353,common assault,eastern,oldtown
1840,2016-12-18 11:01:00,353,common assault,western,sandtown-winchester
1841,2016-12-18 10:33:00,353,agg. assault,eastern,barclay
1843,2016-12-18 10:14:00,353,agg. assault,central,downtown
1844,2016-12-18 10:00:00,353,burglary,western,penn north
1847,2016-12-18 09:55:00,353,burglary,northwestern,west arlington
1848,2016-12-18 09:00:00,353,burglary,northern,remington
1849,2016-12-18 09:00:00,353,burglary,northern,remington
1853,2016-12-18 08:35:00,353,robbery - street,western,penn north
1854,2016-12-18 07:15:00,353,auto theft,northeastern,belair-edison
1859,2016-12-18 05:01:00,353,common assault,central,seton hill
1861,2016-12-18 03:40:00,353,burglary,northern,guilford
1862,2016-12-18 02:15:00,353,agg. assault,southeastern,canton
1863,2016-12-18 01:50:00,353,burglary,southern,federal hill
1865,2016-12-18 01:43:00,353,auto theft,central,reservoir hill
1869,2016-12-18 00:46:00,353,shooting,central,downtown
1870,2016-12-18 00:46:00,353,shooting,central,downtown
1874,2016-12-18 00:40:00,353,agg. assault,central,downtown
1884,2016-12-17 22:39:00,352,auto theft,southwestern,edmondson village
1888,2016-12-17 21:25:00,352,agg. assault,southeastern,highlandtown
1891,2016-12-17 21:00:00,352,common assault,western,sandtown-winchester
1894,2016-12-17 20:00:00,352,auto theft,southern,brooklyn
1895,2016-12-17 19:49:00,352,larceny,southeastern,highlandtown
1897,2016-12-17 19:20:00,352,robbery - residence,central,upton
1901,2016-12-17 18:00:00,352,larceny from auto,southern,brooklyn
1904,2016-12-17 17:11:00,352,agg. assault,western,sandtown-winchester
1910,2016-12-17 16:35:00,352,auto theft,western,poppleton
1911,2016-12-17 16:22:00,352,larceny,southwestern,morrell park
1914,2016-12-17 16:00:00,352,larceny,southwestern,irvington
1916,2016-12-17 15:44:00,352,common assault,central,upton
1918,2016-12-17 15:15:00,352,larceny,southeastern,canton
1923,2016-12-17 13:45:00,352,common assault,southern,brooklyn
1924,2016-12-17 13:30:00,352,burglary,southwestern,edmondson village
1925,2016-12-17 13:00:00,352,common assault,southwestern,edmondson village
1929,2016-12-17 12:00:00,352,larceny,central,inner harbor
1930,2016-12-17 11:30:00,352,auto theft,southeastern,highlandtown
1931,2016-12-17 11:15:00,352,burglary,southeastern,fells point
1934,2016-12-17 10:20:00,352,burglary,southern,lakeland
1936,2016-12-17 10:00:00,352,burglary,southern,curtis bay
1937,2016-12-17 09:50:00,352,burglary,southeastern,canton
1940,2016-12-17 05:00:00,352,common assault,northeastern,belair-edison
